Country ,Region,Population,Internet Population,Revenues
China,Asia-Pacific,1439300000,946400000,44263000000
United States of America,North America,331000000,283900000,42107000000
Japan,Asia-Pacific,126500000,114900000,20615000000
South Korea,Asia-Pacific,51300000,48600000,7325000000
Germany,Europe,83800000,75800000,6084000000
United Kingdoms,Europe,67900000,62200000,5533000000
France,Europe,65300000,58800000,4351000000
Canada,North America,37700000,34100000,3836000000
Italy,Europe,60500000,53300000,3482000000
Spain,Europe,46800000,41800000,2460000000
